Song Name,Artist Name,Artist Credit,Genre,Lowest BPM,Highest BPM,Game Origin,Version,Removed ?,Licensed ?,Cover ?,SP-Beginner,SPB NC,SP-Normal,SPN NC,SP-Hyper,SPH NC,SP-Another,SPA NC,SP-Leggendaria,SPL NC,DP-Normal,DPN NC,DP-Hyper,DPH NC,DP-Another,DPA NC,DP-Leggendaria,DPL NC
BURNIN' THE FLOOR,NAOKI,"Naoki Maeda, Robbie Danzie, Aaron G",Euro Groove,155,155,DDR,4th style,No,No,,n/a,n/a,4,293,4,478,7,721,n/a,n/a,3,460,4,482,8,724,n/a,n/a
HIGHER,NM feat. Sunny,"Naoki Maeda, Sunny James",Dance Pop,132,132,DDR,4th style,No,No,,n/a,n/a,3,270,4,468,6,641,n/a,n/a,4,362,6,578,7,611,n/a,n/a
INFINITE PRAYER,L.E.D. LIGHT feat. GORO,"Toshiyuki Kakuta, GORO",Oceanian Tribal Trance,137,137,BM,4th style,Yes,No,,n/a,n/a,4,483,5,555,0,739,n/a,n/a,5,562,7,752,0,880,n/a,n/a
NORTH,WALL5,Hiego Tani,Celtrance,138,138,BM,4th style,Yes,No,,3,230,4,305,5,466,n/a,n/a,n/a,n/a,5,402,8,791,n/a,n/a,n/a,n/a
Rest my mind,dj nagureo feat. Doublecheese,"Reo Nagumo, Robbie Danzie, Masaru Umehara",Hiphop,94,94,BM,4th style,Yes,No,,n/a,n/a,3,230,4,259,n/a,n/a,n/a,n/a,3,227,4,261,n/a,n/a,n/a,n/a
サナ・モレッテ・ネ・エンテ,Togo Project feat. Sana,"Hiroyuki Togo, Sanae Shintani",Cuban Groove,90,90,BM,4th style,Yes,No,,n/a,n/a,3,325,5,457,5,473,n/a,n/a,3,453,5,690,n/a,n/a,n/a,n/a
Twin Bee -Generation X-,FinalOffset,Hideaki Sugaya,Euro Beat,168,177,BM,4th style,Yes,No,,n/a,n/a,4,332,5,389,5,487,n/a,n/a,4,327,5,443,5,474,n/a,n/a
250bpm,AKIRA YAMAOKA,Akira Yamaoka,Gabba,250,250,IIDX,4th style,No,No,,3,292,5,353,8,528,10,726,n/a,n/a,4,351,7,523,9,672,n/a,n/a
Broken My Heart,NAOKI feat. Paula Terry,"Naoki Maeda, Paula Terry",Hyper Euro Beat,160,160,DMX,4th style,No,No,,n/a,n/a,5,474,7,571,9,914,n/a,n/a,4,405,7,742,10,914,n/a,n/a
FLOWERS for ALBION,dj TAKA,Takayuki Ishikawa,Ambient,70,93,IIDX,4th style,No,No,,n/a,n/a,2,122,5,222,n/a,n/a,n/a,n/a,5,190,7,222,n/a,n/a,n/a,n/a
GET ON BEAT (WILD STYLE),Lion Musashi,Takayuki Ishikawa,Hard House,150,150,IIDX,4th style,Yes,No,,3,453,6,730,9,918,10,1094,n/a,n/a,6,702,8,913,10,1077,n/a,n/a
Jam & Marmalade,FinalOffset,Hideaki Sugaya,Warp House,145,145,BM,4th style,No,No,,n/a,n/a,6,388,7,456,8,512,n/a,n/a,4,327,6,451,n/a,n/a,n/a,n/a
KAMIKAZE,dj nagureo,Reo Nagumo,Techno,145,145,IIDX,4th style,No,No,,n/a,n/a,5,515,6,745,10,1157,n/a,n/a,5,512,7,745,10,1156,n/a,n/a
minimalian,DETROIAN,Akira Yamaoka,Minimal,141,141,IIDX,4th style,No,No,,n/a,n/a,3,271,8,555,9,706,n/a,n/a,3,263,9,626,12,1015,n/a,n/a
ULTRA HIGH-HEELS,dj TAKA feat. ANGEL,"Takayuki Ishikawa, Angel O'Brien",Parapara,160,160,pop'n,4th style,Yes,No,,n/a,n/a,4,380,5,462,5,497,n/a,n/a,4,441,5,503,n/a,n/a,n/a,n/a
Deadline,Dutch Force,"Benno de Goeij, Piet Bervoets",Trance,137,137,IIDX,5th style,Yes,Yes,,n/a,n/a,3,335,5,626,0,831,n/a,n/a,4,509,7,953,0,1267,n/a,n/a
天国のキッス ～D.J.TAKA's style～,オセロ,Takayuki Ishikawa,Euro Trance,150,150,IIDX,5th style,Yes,Yes,,n/a,n/a,3,374,5,606,0,781,n/a,n/a,4,433,6,731,0,806,n/a,n/a
1989,Osamu Kubota,Osamu Kubota,Rock Opea,88,88,IIDX,5th style,Yes,No,,n/a,n/a,4,372,6,562,n/a,n/a,n/a,n/a,5,352,6,579,n/a,n/a,n/a,n/a
Abyss,dj TAKA,Takayuki Ishikawa,Intelligence,142,142,IIDX,5th style,No,No,,n/a,n/a,5,639,7,817,8,945,n/a,n/a,7,771,8,889,9,964,n/a,n/a
Come With Me,good-cool feat. Aundréa L.Hopkins,Tatsuya Furukawa,House,125,125,IIDX,5th style,Yes,No,,n/a,n/a,4,410,5,483,0,679,n/a,n/a,4,472,7,686,n/a,n/a,n/a,n/a
Estella,Osamu Kubota,Osamu Kubota,Spanish Waltz,114,114,IIDX,5th style,Yes,No,,n/a,n/a,4,382,6,559,n/a,n/a,n/a,n/a,6,567,7,799,n/a,n/a,n/a,n/a
Flash of love,good-cool feat. Mickin'Tackin',"Tatsuya Furukawa, Miki Masuda",J-Disco,113,113,IIDX,5th style,Yes,No,,n/a,n/a,4,352,5,514,0,603,n/a,n/a,4,362,6,494,0,626,n/a,n/a
Give Me A Sign,"Shoichiro Hirata feat.""Red""","Shoichiro Hirata, Red-Beth Ann Beal",Two Step,126,126,IIDX,5th style,Yes,No,,n/a,n/a,4,440,6,650,8,881,n/a,n/a,5,660,8,827,9,861,n/a,n/a
